200_fhfestiv;200_tpfestiv;200_cdautono;200_stcdpine;200_cdempres;200_cddiasem;200_nbfhfest;partition_date
1984-04-19;1;  ;       ;    ;4;                              ;2020-07-03
1984-04-20;1;  ;       ;    ;5;                              ;2020-07-03
1984-04-21;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-04-28;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-05-01;1;  ;       ;    ;2;                              ;2020-07-03
1984-05-05;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-05-12;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-05-19;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-05-25;1;  ;       ;    ;5;                              ;2020-07-03
1984-05-26;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-06-02;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-06-09;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-06-16;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-06-20;1;  ;       ;    ;3;                              ;2020-07-03
1984-06-23;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-06-30;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-07-07;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-07-09;1;  ;       ;    ;1;                              ;2020-07-03
1984-07-14;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-07-21;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-07-28;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-08-04;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-08-11;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-08-17;1;  ;       ;    ;5;                              ;2020-07-03
1984-08-18;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-08-25;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-09-01;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-09-08;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-09-15;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-09-22;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-09-29;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-10-06;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-10-12;1;  ;       ;    ;5;                              ;2020-07-03
1984-10-13;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-10-20;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-10-27;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-11-03;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-11-10;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-11-17;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-11-24;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-12-01;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-12-08;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-12-15;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-12-22;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-12-24;1;  ;       ;    ;1;                              ;2020-07-03
1984-12-25;1;  ;       ;    ;2;                              ;2020-07-03
1984-12-29;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1984-12-31;1;  ;       ;    ;1;                              ;2020-07-03
1985-01-01;1;  ;       ;    ;2;                              ;2020-07-03
1985-01-05;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-01-12;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-01-19;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-01-26;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-02-02;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-02-09;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-02-16;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-02-23;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-03-02;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-03-09;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-03-16;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-03-23;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-03-30;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-04-04;1;  ;       ;    ;4;                              ;2020-07-03
1985-04-05;1;  ;       ;    ;5;                              ;2020-07-03
1985-04-06;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-04-13;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-04-20;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-04-27;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-05-01;1;  ;       ;    ;3;                              ;2020-07-03
1985-05-04;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-05-11;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-05-18;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-05-25;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-06-01;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-06-08;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-06-10;1;  ;       ;    ;1;                              ;2020-07-03
1985-06-15;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-06-20;1;  ;       ;    ;4;                              ;2020-07-03
1985-06-22;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-06-29;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-07-06;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-07-09;1;  ;       ;    ;2;                              ;2020-07-03
1985-07-13;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-07-20;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-07-27;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-08-03;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-08-10;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-08-17;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-08-24;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-08-31;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-09-07;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-09-14;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-09-21;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-09-28;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-10-05;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-10-12;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-10-19;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-10-26;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-11-02;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-11-09;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-11-16;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-11-23;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-11-30;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-12-07;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-12-14;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-12-21;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-12-25;1;  ;       ;    ;3;                              ;2020-07-03
1985-12-28;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1985-12-31;1;  ;       ;    ;2;                              ;2020-07-03
1986-01-01;1;  ;       ;    ;3;                              ;2020-07-03
1986-01-04;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1986-01-11;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1986-01-18;4;  ;       ;0072;6;SABADO                        ;2020-07-03
1986-01-25;4;  ;       ;0072;6;SABADO                        ;2020-07-03
