cod_area_negocio;area_negocio;cod_adn_cg;partition_date
RSS1;Select;SELE;2020-12-31
RSS1CIT;Select;SELE;2020-12-31
RSS1CITMP;Select;SELE;2020-12-31
RSS1MP;Select;SELE;2020-12-31
RSS2;Select;SELE;2020-12-31
RSS2CIT;Select;SELE;2020-12-31
RSS2CITMP;Select;SELE;2020-12-31
RSS2MP;Select;SELE;2020-12-31
RSS3;Select;SELE;2020-12-31
RSS3CIT;Select;SELE;2020-12-31
RSS3CITMP;Select;SELE;2020-12-31
RSS3MP;Select;SELE;2020-12-31
RAA1;Renta Alta;RALT;2020-12-31
RAA1CIT;Renta Alta;RALT;2020-12-31
RAA1CITMP;Renta Alta;RALT;2020-12-31
RAA1MP;Renta Alta;RALT;2020-12-31
RAA2;Renta Alta;RALT;2020-12-31
RAA2CIT;Renta Alta;RALT;2020-12-31
RAA2CITMP;Renta Alta;RALT;2020-12-31
RAA2MP;Renta Alta;RALT;2020-12-31
RAA3;Renta Alta;RALT;2020-12-31
RAA3CIT;Renta Alta;RALT;2020-12-31
RAA3CITMP;Renta Alta;RALT;2020-12-31
RAA3MP;Renta Alta;RALT;2020-12-31
RMEB1;Renta Media;RMED;2020-12-31
RMEB1CIT;Renta Media;RMED;2020-12-31
RMEB1CITMP;Renta Media;RMED;2020-12-31
RMEB1MP;Renta Media;RMED;2020-12-31
RMEB2;Renta Media;RMED;2020-12-31
RMEB2CIT;Renta Media;RMED;2020-12-31
RMEB2CITMP;Renta Media;RMED;2020-12-31
RMEB2MP;Renta Media;RMED;2020-12-31
RMEB3;Renta Media;RMED;2020-12-31
RMEB3CIT;Renta Media;RMED;2020-12-31
RMEB3CITMP;Renta Media;RMED;2020-12-31
RMEB3MP;Renta Media;RMED;2020-12-31
GE8888;Renta Baja;RBAJ;2020-12-31
RMAC1;Renta Baja;RBAJ;2020-12-31
RMAC1CIT;Renta Baja;RBAJ;2020-12-31
RMAC1CITMP;Renta Baja;RBAJ;2020-12-31
RMAC1MP;Renta Baja;RBAJ;2020-12-31
RMAC2;Renta Baja;RBAJ;2020-12-31
RMAC2CIT;Renta Baja;RBAJ;2020-12-31
RMAC2CITMP;Renta Baja;RBAJ;2020-12-31
