table;month_partition_date;last_working_day_arda;json_extra_params
JM_CLIENT_BII;2018-03;20180328;{"fecha_partition_clientes_en_mora_lwd":"2018-03-28","fecha_partition_marca_comite_lwda":"20180328","fecha_partition_clientes_en_mora_pmlwd":"","fecha_partition_marca_comite_pmlwda":"20180228","fecha_partition_personas_valor_rgo_lwda":"20180328","fecha_partition_marca_utp_clientes_mpb":"2018-03","fecha_partition_calendario_lwda":"20180328"}
JM_CLIENT_BII;2018-04;20180427;{"fecha_partition_clientes_en_mora_lwd":"2018-04-27","fecha_partition_marca_comite_lwda":"20180427","fecha_partition_clientes_en_mora_pmlwd":"2018-03-28","fecha_partition_marca_comite_pmlwda":"20180328","fecha_partition_personas_valor_rgo_lwda":"20180427","fecha_partition_marca_utp_clientes_mpb":"2018-04","fecha_partition_calendario_lwda":""}
JM_CLIENT_BII;2018-05;20180531;{"fecha_partition_clientes_en_mora_lwd":"2018-05-31","fecha_partition_marca_comite_lwda":"20180531","fecha_partition_clientes_en_mora_pmlwd":"2018-04-27","fecha_partition_marca_comite_pmlwda":"20180427","fecha_partition_personas_valor_rgo_lwda":"20180531","fecha_partition_marca_utp_clientes_mpb":"2018-05","fecha_partition_calendario_lwda":""}
JM_CLIENT_BII;2018-06;20180629;{"fecha_partition_clientes_en_mora_lwd":"2018-06-29","fecha_partition_marca_comite_lwda":"20180629","fecha_partition_clientes_en_mora_pmlwd":"2019-05-31","fecha_partition_marca_comite_pmlwda":"20180531","fecha_partition_personas_valor_rgo_lwda":"20180629","fecha_partition_marca_utp_clientes_mpb":"2018-06","fecha_partition_calendario_lwda":""}
JM_CLIENT_BII;2018-07;20180731;{"fecha_partition_clientes_en_mora_lwd":"2018-07-31","fecha_partition_marca_comite_lwda":"20180731","fecha_partition_clientes_en_mora_pmlwd":"2018-06-29","fecha_partition_marca_comite_pmlwda":"20180629","fecha_partition_personas_valor_rgo_lwda":"20180731","fecha_partition_marca_utp_clientes_mpb":"2018-07","fecha_partition_calendario_lwda":"20180731"}
JM_CLIENT_BII;2018-08;20180831;{"fecha_partition_clientes_en_mora_lwd":"2018-08-31","fecha_partition_marca_comite_lwda":"20180831","fecha_partition_clientes_en_mora_pmlwd":"2018-07-31","fecha_partition_marca_comite_pmlwda":"20180731","fecha_partition_personas_valor_rgo_lwda":"20180831","fecha_partition_marca_utp_clientes_mpb":"2018-08","fecha_partition_calendario_lwda":"20180831"}
JM_CLIENT_BII;2018-09;20180928;{"fecha_partition_clientes_en_mora_lwd":"2018-09-28","fecha_partition_marca_comite_lwda":"20180928","fecha_partition_clientes_en_mora_pmlwd":"2018-08-31","fecha_partition_marca_comite_pmlwda":"20180831","fecha_partition_personas_valor_rgo_lwda":"20180928","fecha_partition_marca_utp_clientes_mpb":"2018-09","fecha_partition_calendario_lwda":"20180928"}
JM_CLIENT_BII;2018-10;20181031;{"fecha_partition_clientes_en_mora_lwd":"2018-10-31","fecha_partition_marca_comite_lwda":"20181021","fecha_partition_clientes_en_mora_pmlwd":"2018-09-28","fecha_partition_marca_comite_pmlwda":"20180928","fecha_partition_personas_valor_rgo_lwda":"20181021","fecha_partition_marca_utp_clientes_mpb":"2018-10","fecha_partition_calendario_lwda":"20181031"}
JM_CLIENT_BII;2018-11;20181129;{"fecha_partition_clientes_en_mora_lwd":"2018-11-30","fecha_partition_marca_comite_lwda":"20181129","fecha_partition_clientes_en_mora_pmlwd":"2018-10-31","fecha_partition_marca_comite_pmlwda":"20181021","fecha_partition_personas_valor_rgo_lwda":"20181129","fecha_partition_marca_utp_clientes_mpb":"2018-11","fecha_partition_calendario_lwda":"20181129"}
JM_CLIENT_BII;2018-12;20181228;{"fecha_partition_clientes_en_mora_lwd":"2018-12-28","fecha_partition_marca_comite_lwda":"20181228","fecha_partition_clientes_en_mora_pmlwd":"2018-11-30","fecha_partition_marca_comite_pmlwda":"20181129","fecha_partition_personas_valor_rgo_lwda":"20181228","fecha_partition_marca_utp_clientes_mpb":"2018-12","fecha_partition_calendario_lwda":"20181228"}
JM_CLIENT_BII;2019-01;20190131;{"fecha_partition_clientes_en_mora_lwd":"2019-01-31","fecha_partition_marca_comite_lwda":"20190131","fecha_partition_clientes_en_mora_pmlwd":"2018-12-28","fecha_partition_marca_comite_pmlwda":"20181228","fecha_partition_personas_valor_rgo_lwda":"20190131","fecha_partition_marca_utp_clientes_mpb":"2019-01","fecha_partition_calendario_lwda":"20190131"}
JM_CLIENT_BII;2019-02;20190228;{"fecha_partition_clientes_en_mora_lwd":"2019-02-28","fecha_partition_marca_comite_lwda":"20190228","fecha_partition_clientes_en_mora_pmlwd":"2019-01-31","fecha_partition_marca_comite_pmlwda":"20190131","fecha_partition_personas_valor_rgo_lwda":"20190228","fecha_partition_marca_utp_clientes_mpb":"2019-02","fecha_partition_calendario_lwda":"20190228"}
JM_CLIENT_BII;2019-03;20190329;{"fecha_partition_clientes_en_mora_lwd":"2019-03-29","fecha_partition_marca_comite_lwda":"20190329","fecha_partition_clientes_en_mora_pmlwd":"2019-02-28","fecha_partition_marca_comite_pmlwda":"20190228","fecha_partition_personas_valor_rgo_lwda":"20190329","fecha_partition_marca_utp_clientes_mpb":"2019-03","fecha_partition_calendario_lwda":"20190329"}
JM_CLIENT_BII;2019-04;20190430;{"fecha_partition_clientes_en_mora_lwd":"2019-04-30","fecha_partition_marca_comite_lwda":"20190430","fecha_partition_clientes_en_mora_pmlwd":"2019-03-29","fecha_partition_marca_comite_pmlwda":"20190329","fecha_partition_personas_valor_rgo_lwda":"20190430","fecha_partition_marca_utp_clientes_mpb":"2019-04","fecha_partition_calendario_lwda":"20190430"}
JM_CLIENT_BII;2019-05;20190531;{"fecha_partition_clientes_en_mora_lwd":"2019-05-31","fecha_partition_marca_comite_lwda":"20190531","fecha_partition_clientes_en_mora_pmlwd":"2019-04-30","fecha_partition_marca_comite_pmlwda":"20190430","fecha_partition_personas_valor_rgo_lwda":"20190531","fecha_partition_marca_utp_clientes_mpb":"2019-05","fecha_partition_calendario_lwda":"20190531"}
JM_CLIENT_BII;2019-06;20190628;{"fecha_partition_clientes_en_mora_lwd":"2019-06-28","fecha_partition_marca_comite_lwda":"20190628","fecha_partition_clientes_en_mora_pmlwd":"2019-05-31","fecha_partition_marca_comite_pmlwda":"20190531","fecha_partition_personas_valor_rgo_lwda":"20190628","fecha_partition_marca_utp_clientes_mpb":"2019-06","fecha_partition_calendario_lwda":"20190628"}
JM_CLIENT_BII;2019-07;20190731;{"fecha_partition_clientes_en_mora_lwd":"2019-07-31","fecha_partition_marca_comite_lwda":"20190731","fecha_partition_clientes_en_mora_pmlwd":"2019-06-28","fecha_partition_marca_comite_pmlwda":"20190628","fecha_partition_personas_valor_rgo_lwda":"20190731","fecha_partition_marca_utp_clientes_mpb":"2019-07","fecha_partition_calendario_lwda":"20190731"}
JM_CLIENT_BII;2019-08;20190830;{"fecha_partition_clientes_en_mora_lwd":"2019-08-30","fecha_partition_marca_comite_lwda":"20190830","fecha_partition_clientes_en_mora_pmlwd":"2019-07-31","fecha_partition_marca_comite_pmlwda":"20190731","fecha_partition_personas_valor_rgo_lwda":"20190830","fecha_partition_marca_utp_clientes_mpb":"2019-08","fecha_partition_calendario_lwda":"20190830"}
JM_CLIENT_BII;2019-09;20190930;{"fecha_partition_clientes_en_mora_lwd":"2019-09-30","fecha_partition_marca_comite_lwda":"20190930","fecha_partition_clientes_en_mora_pmlwd":"2019-08-30","fecha_partition_marca_comite_pmlwda":"20190830","fecha_partition_personas_valor_rgo_lwda":"20190930","fecha_partition_marca_utp_clientes_mpb":"2019-09","fecha_partition_calendario_lwda":"20190930"}
JM_CLIENT_BII;2019-10;20191031;{"fecha_partition_clientes_en_mora_lwd":"2019-10-31","fecha_partition_marca_comite_lwda":"20191031","fecha_partition_clientes_en_mora_pmlwd":"2019-09-30","fecha_partition_marca_comite_pmlwda":"20190930","fecha_partition_personas_valor_rgo_lwda":"20191031","fecha_partition_marca_utp_clientes_mpb":"2019-10","fecha_partition_calendario_lwda":"20191031"}
JM_CLIENT_BII;2019-11;20191129;{"fecha_partition_clientes_en_mora_lwd":"2019-11-29","fecha_partition_marca_comite_lwda":"20191129","fecha_partition_clientes_en_mora_pmlwd":"2019-10-31","fecha_partition_marca_comite_pmlwda":"20191031","fecha_partition_personas_valor_rgo_lwda":"20191129","fecha_partition_marca_utp_clientes_mpb":"2019-11","fecha_partition_calendario_lwda":"20191129"}
JM_CLIENT_BII;2019-12;20191230;{"fecha_partition_clientes_en_mora_lwd":"2019-12-30","fecha_partition_marca_comite_lwda":"20191230","fecha_partition_clientes_en_mora_pmlwd":"2019-11-29","fecha_partition_marca_comite_pmlwda":"20191129","fecha_partition_personas_valor_rgo_lwda":"20191230","fecha_partition_marca_utp_clientes_mpb":"2019-12","fecha_partition_calendario_lwda":"20191230"}
JM_CLIENT_BII;2020-01;20200131;{"fecha_partition_clientes_en_mora_lwd":"2020-01-31","fecha_partition_marca_comite_lwda":"20200131","fecha_partition_clientes_en_mora_pmlwd":"2019-12-30","fecha_partition_marca_comite_pmlwda":"20191230","fecha_partition_personas_valor_rgo_lwda":"20200131","fecha_partition_marca_utp_clientes_mpb":"2020-01","fecha_partition_calendario_lwda":"20200131"}
JM_CLIENT_BII;2020-02;20200228;{"fecha_partition_clientes_en_mora_lwd":"2020-02-28","fecha_partition_marca_comite_lwda":"20200228","fecha_partition_clientes_en_mora_pmlwd":"2020-01-31","fecha_partition_marca_comite_pmlwda":"20200131","fecha_partition_personas_valor_rgo_lwda":"20200228","fecha_partition_marca_utp_clientes_mpb":"2020-02","fecha_partition_calendario_lwda":"20200228"}
JM_CLIENT_BII;2020-03;20200330;{"fecha_partition_clientes_en_mora_lwd":"2020-03-30","fecha_partition_marca_comite_lwda":"20200330","fecha_partition_clientes_en_mora_pmlwd":"2019-02-29","fecha_partition_marca_comite_pmlwda":"20200228","fecha_partition_personas_valor_rgo_lwda":"20200330","fecha_partition_marca_utp_clientes_mpb":"2020-03","fecha_partition_calendario_lwda":"20200330"}
JM_CLIENT_BII;2020-04;20200430;{"fecha_partition_clientes_en_mora_lwd":"2020-04-30","fecha_partition_marca_comite_lwda":"20200430","fecha_partition_clientes_en_mora_pmlwd":"2019-03-30","fecha_partition_marca_comite_pmlwda":"20200330","fecha_partition_personas_valor_rgo_lwda":"20200430","fecha_partition_marca_utp_clientes_mpb":"2020-04","fecha_partition_calendario_lwda":"20200430"}
JM_CLIENT_BII;2020-05;20200529;{"fecha_partition_clientes_en_mora_lwd":"2020-05-29","fecha_partition_marca_comite_lwda":"20200529","fecha_partition_clientes_en_mora_pmlwd":"2019-04-30","fecha_partition_marca_comite_pmlwda":"20200430","fecha_partition_personas_valor_rgo_lwda":"20200529","fecha_partition_marca_utp_clientes_mpb":"2020-05","fecha_partition_calendario_lwda":"20200529"}
