table;month_partition_date;last_working_day_arda;json_extra_params
JM_CONTR_BIS;2018-03;20180328;{"fecha_partition_contratos_lwda":"20180328","fecha_partition_contratos_lcd":"2018-03-31","fecha_partition_personas_lwda":"20180328","fecha_partition_contratos_garra_lwda":"20180328","fecha_partition_ifrs9_bonos_lwda":"20180328","fecha_partition_map_baremos_global_local_lcd":"2018-03-31","fecha_partition_baremos_local_lcd":"2018-03-31","fecha_partition_derivados_swap_lwda":"","fecha_partition_especies_lcd":"2018-03-31","fecha_partition_especies_lcda":"","dias_del_mes":"31"}
JM_CONTR_BIS;2018-04;20180427;{"fecha_partition_contratos_lwda":"20180427","fecha_partition_contratos_lcd":"2018-04-30","fecha_partition_personas_lwda":"20180427","fecha_partition_contratos_garra_lwda":"20180427","fecha_partition_ifrs9_bonos_lwda":"20180427","fecha_partition_map_baremos_global_local_lcd":"2018-04-30","fecha_partition_baremos_local_lcd":"2018-04-30","fecha_partition_derivados_swap_lwda":"","fecha_partition_especies_lcd":"2018-04-30","fecha_partition_especies_lcda":"","dias_del_mes":"30"}
JM_CONTR_BIS;2018-05;20180531;{"fecha_partition_contratos_lwda":"20180531","fecha_partition_contratos_lcd":"2018-05-31","fecha_partition_personas_lwda":"20180531","fecha_partition_contratos_garra_lwda":"20180531","fecha_partition_ifrs9_bonos_lwda":"20180531","fecha_partition_map_baremos_global_local_lcd":"2018-05-31","fecha_partition_baremos_local_lcd":"2018-05-31","fecha_partition_derivados_swap_lwda":"20180531","fecha_partition_especies_lcd":"2018-05-31","fecha_partition_especies_lcda":"","dias_del_mes":"31"}
JM_CONTR_BIS;2018-06;20180629;{"fecha_partition_contratos_lwda":"20180629","fecha_partition_contratos_lcd":"2018-06-30","fecha_partition_personas_lwda":"20180629","fecha_partition_contratos_garra_lwda":"20180629","fecha_partition_ifrs9_bonos_lwda":"20180629","fecha_partition_map_baremos_global_local_lcd":"2018-06-30","fecha_partition_baremos_local_lcd":"2018-06-30","fecha_partition_derivados_swap_lwda":"20180629","fecha_partition_especies_lcd":"2018-06-30","fecha_partition_especies_lcda":"","dias_del_mes":"30"}
JM_CONTR_BIS;2018-07;20180731;{"fecha_partition_contratos_lwda":"20180731","fecha_partition_contratos_lcd":"2018-07-31","fecha_partition_personas_lwda":"20180731","fecha_partition_contratos_garra_lwda":"20180731","fecha_partition_ifrs9_bonos_lwda":"20180731","fecha_partition_map_baremos_global_local_lcd":"2018-07-31","fecha_partition_baremos_local_lcd":"2018-07-31","fecha_partition_derivados_swap_lwda":"20180731","fecha_partition_especies_lcd":"2018-07-31","fecha_partition_especies_lcda":"","dias_del_mes":"31"}
JM_CONTR_BIS;2018-08;20180831;{"fecha_partition_contratos_lwda":"20180831","fecha_partition_contratos_lcd":"2018-08-31","fecha_partition_personas_lwda":"20180831","fecha_partition_contratos_garra_lwda":"20180831","fecha_partition_ifrs9_bonos_lwda":"20180831","fecha_partition_map_baremos_global_local_lcd":"2018-08-31","fecha_partition_baremos_local_lcd":"2018-08-31","fecha_partition_derivados_swap_lwda":"20180831","fecha_partition_especies_lcd":"2018-08-31","fecha_partition_especies_lcda":"","dias_del_mes":"31"}
JM_CONTR_BIS;2018-09;20180928;{"fecha_partition_contratos_lwda":"20180928","fecha_partition_contratos_lcd":"2018-09-30","fecha_partition_personas_lwda":"20180928","fecha_partition_contratos_garra_lwda":"20180928","fecha_partition_ifrs9_bonos_lwda":"20180928","fecha_partition_map_baremos_global_local_lcd":"2018-09-30","fecha_partition_baremos_local_lcd":"2018-09-30","fecha_partition_derivados_swap_lwda":"20180928","fecha_partition_especies_lcd":"2018-09-30","fecha_partition_especies_lcda":"","dias_del_mes":"30"}
JM_CONTR_BIS;2018-10;20181031;{"fecha_partition_contratos_lwda":"20181031","fecha_partition_contratos_lcd":"2018-10-31","fecha_partition_personas_lwda":"20181031","fecha_partition_contratos_garra_lwda":"20181031","fecha_partition_ifrs9_bonos_lwda":"20181031","fecha_partition_map_baremos_global_local_lcd":"2018-10-31","fecha_partition_baremos_local_lcd":"2018-10-31","fecha_partition_derivados_swap_lwda":"20181031","fecha_partition_especies_lcd":"2018-10-31","fecha_partition_especies_lcda":"","dias_del_mes":"31"}
JM_CONTR_BIS;2018-11;20181129;{"fecha_partition_contratos_lwda":"20181129","fecha_partition_contratos_lcd":"2018-11-30","fecha_partition_personas_lwda":"20181129","fecha_partition_contratos_garra_lwda":"20181129","fecha_partition_ifrs9_bonos_lwda":"20181129","fecha_partition_map_baremos_global_local_lcd":"2018-11-30","fecha_partition_baremos_local_lcd":"2018-11-30","fecha_partition_derivados_swap_lwda":"20181129","fecha_partition_especies_lcd":"2018-11-30","fecha_partition_especies_lcda":"","dias_del_mes":"30"}
JM_CONTR_BIS;2018-12;20181228;{"fecha_partition_contratos_lwda":"20181228","fecha_partition_contratos_lcd":"2018-12-31","fecha_partition_personas_lwda":"20181228","fecha_partition_contratos_garra_lwda":"20181228","fecha_partition_ifrs9_bonos_lwda":"20181228","fecha_partition_map_baremos_global_local_lcd":"2018-12-31","fecha_partition_baremos_local_lcd":"2018-12-31","fecha_partition_derivados_swap_lwda":"20181228","fecha_partition_especies_lcd":"2018-12-31","fecha_partition_especies_lcda":"20181228","dias_del_mes":"31"}
