table;month_partition_date;last_working_day_arda;json_extra_params
JM_CONTR_OTROS;2018-03;20180328;{"fecha_partition_contratos_lwda":"20180328","fecha_partition_contratos_garra_lwda":"20180328","fecha_partition_contratos_refinanciados_lwda":"20180328","fecha_partition_ifrs9_contratos_lwda":"20180328","fecha_partition_ifrs9_tarjetas_saldos_visa":"20180330","fecha_partition_ifrs9_tarjetas_saldos_amex":"20180330","fecha_partition_ifrs9_tarjetas_saldos_master":"20180330","dias_del_mes":"31"}
JM_CONTR_OTROS;2018-04;20180427;{"fecha_partition_contratos_lwda":"20180427","fecha_partition_contratos_garra_lwda":"20180427","fecha_partition_contratos_refinanciados_lwda":"20180427","fecha_partition_ifrs9_contratos_lwda":"20180427","fecha_partition_ifrs9_tarjetas_saldos_visa":"20180427","fecha_partition_ifrs9_tarjetas_saldos_amex":"20180427","fecha_partition_ifrs9_tarjetas_saldos_master":"20180427","dias_del_mes":"30"}
JM_CONTR_OTROS;2018-05;20180531;{"fecha_partition_contratos_lwda":"20180531","fecha_partition_contratos_garra_lwda":"20180531","fecha_partition_contratos_refinanciados_lwda":"20180531","fecha_partition_ifrs9_contratos_lwda":"20180531","fecha_partition_ifrs9_tarjetas_saldos_visa":"20180526","fecha_partition_ifrs9_tarjetas_saldos_amex":"20180526","fecha_partition_ifrs9_tarjetas_saldos_master":"20180526","dias_del_mes":"31"}
JM_CONTR_OTROS;2018-06;20180629;{"fecha_partition_contratos_lwda":"20180629","fecha_partition_contratos_garra_lwda":"20180629","fecha_partition_contratos_refinanciados_lwda":"20180629","fecha_partition_ifrs9_contratos_lwda":"20180629","fecha_partition_ifrs9_tarjetas_saldos_visa":"20180630","fecha_partition_ifrs9_tarjetas_saldos_amex":"20180630","fecha_partition_ifrs9_tarjetas_saldos_master":"20180630","dias_del_mes":"30"}
JM_CONTR_OTROS;2018-07;20180731;{"fecha_partition_contratos_lwda":"20180731","fecha_partition_contratos_garra_lwda":"20180731","fecha_partition_contratos_refinanciados_lwda":"20180731","fecha_partition_ifrs9_contratos_lwda":"20180731","fecha_partition_ifrs9_tarjetas_saldos_visa":"20180728","fecha_partition_ifrs9_tarjetas_saldos_amex":"20180728","fecha_partition_ifrs9_tarjetas_saldos_master":"20180728","dias_del_mes":"31"}
JM_CONTR_OTROS;2018-08;20180831;{"fecha_partition_contratos_lwda":"20180831","fecha_partition_contratos_garra_lwda":"20180831","fecha_partition_contratos_refinanciados_lwda":"20180831","fecha_partition_ifrs9_contratos_lwda":"20180831","fecha_partition_ifrs9_tarjetas_saldos_visa":"20180825","fecha_partition_ifrs9_tarjetas_saldos_amex":"20180825","fecha_partition_ifrs9_tarjetas_saldos_master":"20180825","dias_del_mes":"31"}
JM_CONTR_OTROS;2018-09;20180928;{"fecha_partition_contratos_lwda":"20180928","fecha_partition_contratos_garra_lwda":"20180928","fecha_partition_contratos_refinanciados_lwda":"20180928","fecha_partition_ifrs9_contratos_lwda":"20180928","fecha_partition_ifrs9_tarjetas_saldos_visa":"20180929","fecha_partition_ifrs9_tarjetas_saldos_amex":"20180929","fecha_partition_ifrs9_tarjetas_saldos_master":"20180929","dias_del_mes":"30"}
JM_CONTR_OTROS;2018-10;20181031;{"fecha_partition_contratos_lwda":"20181031","fecha_partition_contratos_garra_lwda":"20181031","fecha_partition_contratos_refinanciados_lwda":"20181031","fecha_partition_ifrs9_contratos_lwda":"20181031","fecha_partition_ifrs9_tarjetas_saldos_visa":"20181027","fecha_partition_ifrs9_tarjetas_saldos_amex":"20181027","fecha_partition_ifrs9_tarjetas_saldos_master":"20181027","dias_del_mes":"31"}
JM_CONTR_OTROS;2018-11;20181129;{"fecha_partition_contratos_lwda":"20181129","fecha_partition_contratos_garra_lwda":"20181129","fecha_partition_contratos_refinanciados_lwda":"20181129","fecha_partition_ifrs9_contratos_lwda":"20181129","fecha_partition_ifrs9_tarjetas_saldos_visa":"20181124","fecha_partition_ifrs9_tarjetas_saldos_amex":"20181124","fecha_partition_ifrs9_tarjetas_saldos_master":"20181124","dias_del_mes":"30"}
JM_CONTR_OTROS;2018-12;20181228;{"fecha_partition_contratos_lwda":"20181228","fecha_partition_contratos_garra_lwda":"20181228","fecha_partition_contratos_refinanciados_lwda":"20181228","fecha_partition_ifrs9_contratos_lwda":"20181228","fecha_partition_ifrs9_tarjetas_saldos_visa":"20181228","fecha_partition_ifrs9_tarjetas_saldos_amex":"20181228","fecha_partition_ifrs9_tarjetas_saldos_master":"20181228","dias_del_mes":"31"}
JM_CONTR_OTROS;2019-01;20190131;{"fecha_partition_contratos_lwda":"20190131","fecha_partition_contratos_garra_lwda":"20190131","fecha_partition_contratos_refinanciados_lwda":"20190131","fecha_partition_ifrs9_contratos_lwda":"20190131","fecha_partition_ifrs9_tarjetas_saldos_visa":"20190126","fecha_partition_ifrs9_tarjetas_saldos_amex":"20190126","fecha_partition_ifrs9_tarjetas_saldos_master":"20190126","dias_del_mes":"31"}
JM_CONTR_OTROS;2019-02;20190228;{"fecha_partition_contratos_lwda":"20190228","fecha_partition_contratos_garra_lwda":"20190228","fecha_partition_contratos_refinanciados_lwda":"20190228","fecha_partition_ifrs9_contratos_lwda":"20190228","fecha_partition_ifrs9_tarjetas_saldos_visa":"20190223","fecha_partition_ifrs9_tarjetas_saldos_amex":"20190223","fecha_partition_ifrs9_tarjetas_saldos_master":"20190223","dias_del_mes":"28"}
JM_CONTR_OTROS;2019-03;20190329;{"fecha_partition_contratos_lwda":"20190329","fecha_partition_contratos_garra_lwda":"20190329","fecha_partition_contratos_refinanciados_lwda":"20190329","fecha_partition_ifrs9_contratos_lwda":"20190329","fecha_partition_ifrs9_tarjetas_saldos_visa":"20190330","fecha_partition_ifrs9_tarjetas_saldos_amex":"20190330","fecha_partition_ifrs9_tarjetas_saldos_master":"20190330","dias_del_mes":"31"}
JM_CONTR_OTROS;2019-04;20190430;{"fecha_partition_contratos_lwda":"20190430","fecha_partition_contratos_garra_lwda":"20190430","fecha_partition_contratos_refinanciados_lwda":"20190430","fecha_partition_ifrs9_contratos_lwda":"20190430","fecha_partition_ifrs9_tarjetas_saldos_visa":"20190427","fecha_partition_ifrs9_tarjetas_saldos_amex":"20190427","fecha_partition_ifrs9_tarjetas_saldos_master":"20190427","dias_del_mes":"30"}
JM_CONTR_OTROS;2019-05;20190531;{"fecha_partition_contratos_lwda":"20190531","fecha_partition_contratos_garra_lwda":"20190531","fecha_partition_contratos_refinanciados_lwda":"20190531","fecha_partition_ifrs9_contratos_lwda":"20190531","fecha_partition_ifrs9_tarjetas_saldos_visa":"20190525","fecha_partition_ifrs9_tarjetas_saldos_amex":"20190525","fecha_partition_ifrs9_tarjetas_saldos_master":"20190524","dias_del_mes":"31"}
JM_CONTR_OTROS;2019-06;20190628;{"fecha_partition_contratos_lwda":"20190628","fecha_partition_contratos_garra_lwda":"20190628","fecha_partition_contratos_refinanciados_lwda":"20190628","fecha_partition_ifrs9_contratos_lwda":"20190628","fecha_partition_ifrs9_tarjetas_saldos_visa":"20190629","fecha_partition_ifrs9_tarjetas_saldos_amex":"20190629","fecha_partition_ifrs9_tarjetas_saldos_master":"20190629","dias_del_mes":"30"}
JM_CONTR_OTROS;2019-07;20190731;{"fecha_partition_contratos_lwda":"20190731","fecha_partition_contratos_garra_lwda":"20190731","fecha_partition_contratos_refinanciados_lwda":"20190731","fecha_partition_ifrs9_contratos_lwda":"20190731","fecha_partition_ifrs9_tarjetas_saldos_visa":"20190727","fecha_partition_ifrs9_tarjetas_saldos_amex":"20190727","fecha_partition_ifrs9_tarjetas_saldos_master":"20190726","dias_del_mes":"31"}
JM_CONTR_OTROS;2019-08;20190830;{"fecha_partition_contratos_lwda":"20190830","fecha_partition_contratos_garra_lwda":"20190830","fecha_partition_contratos_refinanciados_lwda":"20190830","fecha_partition_ifrs9_contratos_lwda":"20190830","fecha_partition_ifrs9_tarjetas_saldos_visa":"20190831","fecha_partition_ifrs9_tarjetas_saldos_amex":"20190831","fecha_partition_ifrs9_tarjetas_saldos_master":"20190831","dias_del_mes":"31"}
JM_CONTR_OTROS;2019-09;20190930;{"fecha_partition_contratos_lwda":"20190930","fecha_partition_contratos_garra_lwda":"20190930","fecha_partition_contratos_refinanciados_lwda":"20190930","fecha_partition_ifrs9_contratos_lwda":"20190930","fecha_partition_ifrs9_tarjetas_saldos_visa":"20190928","fecha_partition_ifrs9_tarjetas_saldos_amex":"20190927","fecha_partition_ifrs9_tarjetas_saldos_master":"20190927","dias_del_mes":"30"}
JM_CONTR_OTROS;2019-10;20191031;{"fecha_partition_contratos_lwda":"20191031","fecha_partition_contratos_garra_lwda":"20191031","fecha_partition_contratos_refinanciados_lwda":"20191031","fecha_partition_ifrs9_contratos_lwda":"20191031","fecha_partition_ifrs9_tarjetas_saldos_visa":"20191026","fecha_partition_ifrs9_tarjetas_saldos_amex":"20191026","fecha_partition_ifrs9_tarjetas_saldos_master":"20191026","dias_del_mes":"31"}
JM_CONTR_OTROS;2019-11;20191129;{"fecha_partition_contratos_lwda":"20191129","fecha_partition_contratos_garra_lwda":"20191129","fecha_partition_contratos_refinanciados_lwda":"20191129","fecha_partition_ifrs9_contratos_lwda":"20191129","fecha_partition_ifrs9_tarjetas_saldos_visa":"20191130","fecha_partition_ifrs9_tarjetas_saldos_amex":"20191130","fecha_partition_ifrs9_tarjetas_saldos_master":"20191130","dias_del_mes":"30"}
JM_CONTR_OTROS;2019-12;20191230;{"fecha_partition_contratos_lwda":"20191230","fecha_partition_contratos_garra_lwda":"20191230","fecha_partition_contratos_refinanciados_lwda":"20191230","fecha_partition_ifrs9_contratos_lwda":"20191230","fecha_partition_ifrs9_tarjetas_saldos_visa":"20191228","fecha_partition_ifrs9_tarjetas_saldos_amex":"20191228","fecha_partition_ifrs9_tarjetas_saldos_master":"20191227","dias_del_mes":"31"}
JM_CONTR_OTROS;2020-01;20200131;{"fecha_partition_contratos_lwda":"20200131","fecha_partition_contratos_garra_lwda":"20200131","fecha_partition_contratos_refinanciados_lwda":"20200131","fecha_partition_ifrs9_contratos_lwda":"20200131","fecha_partition_ifrs9_tarjetas_saldos_visa":"20200125","fecha_partition_ifrs9_tarjetas_saldos_amex":"20200125","fecha_partition_ifrs9_tarjetas_saldos_master":"20200125","dias_del_mes":"31"}
JM_CONTR_OTROS;2020-02;20200228;{"fecha_partition_contratos_lwda":"20200228","fecha_partition_contratos_garra_lwda":"20200228","fecha_partition_contratos_refinanciados_lwda":"20200228","fecha_partition_ifrs9_contratos_lwda":"20200228","fecha_partition_ifrs9_tarjetas_saldos_visa":"20200228","fecha_partition_ifrs9_tarjetas_saldos_amex":"20200228","fecha_partition_ifrs9_tarjetas_saldos_master":"20200228","dias_del_mes":"29"}
JM_CONTR_OTROS;2020-03;20200330;{"fecha_partition_contratos_lwda":"20200330","fecha_partition_contratos_garra_lwda":"20200330","fecha_partition_contratos_refinanciados_lwda":"20200330","fecha_partition_ifrs9_contratos_lwda":"20200330","fecha_partition_ifrs9_tarjetas_saldos_visa":"20200328","fecha_partition_ifrs9_tarjetas_saldos_amex":"20200328","fecha_partition_ifrs9_tarjetas_saldos_master":"20200328","dias_del_mes":"31"}
JM_CONTR_OTROS;2020-04;20200430;{"fecha_partition_contratos_lwda":"20200430","fecha_partition_contratos_garra_lwda":"20200430","fecha_partition_contratos_refinanciados_lwda":"20200430","fecha_partition_ifrs9_contratos_lwda":"20200430","fecha_partition_ifrs9_tarjetas_saldos_visa":"20200425","fecha_partition_ifrs9_tarjetas_saldos_amex":"20200425","fecha_partition_ifrs9_tarjetas_saldos_master":"20200425","dias_del_mes":"30"}
JM_CONTR_OTROS;2020-05;20200529;{"fecha_partition_contratos_lwda":"20200529","fecha_partition_contratos_garra_lwda":"20200529","fecha_partition_contratos_refinanciados_lwda":"20200529","fecha_partition_ifrs9_contratos_lwda":"20200529","fecha_partition_ifrs9_tarjetas_saldos_visa":"20200530","fecha_partition_ifrs9_tarjetas_saldos_amex":"20200530","fecha_partition_ifrs9_tarjetas_saldos_master":"20200530","dias_del_mes":"31"}
