table;month_partition_date;last_working_day_arda;json_extra_params
JM_EXPOS_NO_CON;2018-03;20180328;{"fecha_partition":"2018-03","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20180328","fecha_particion_mensual_aaaammdd":"20180328","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2018-04;20180427;{"fecha_partition":"2018-04","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20180427","fecha_particion_mensual_aaaammdd":"20180427","dias_del_mes":"30"}
JM_EXPOS_NO_CON;2018-05;20180531;{"fecha_partition":"2018-05","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20180531","fecha_particion_mensual_aaaammdd":"20180531","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2018-06;20180629;{"fecha_partition":"2018-06","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20180629","fecha_particion_mensual_aaaammdd":"20180629","dias_del_mes":"30"}
JM_EXPOS_NO_CON;2018-07;20180731;{"fecha_partition":"2018-07","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20180731","fecha_particion_mensual_aaaammdd":"20180731","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2018-08;20180831;{"fecha_partition":"2018-08","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20180831","fecha_particion_mensual_aaaammdd":"20180831","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2018-09;20180928;{"fecha_partition":"2018-09","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20180928","fecha_particion_mensual_aaaammdd":"20180928","dias_del_mes":"30"}
JM_EXPOS_NO_CON;2018-10;20181031;{"fecha_partition":"2018-10","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20181031","fecha_particion_mensual_aaaammdd":"20181031","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2018-11;20181129;{"fecha_partition":"2018-11","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20181129","fecha_particion_mensual_aaaammdd":"20181129","dias_del_mes":"30"}
JM_EXPOS_NO_CON;2018-12;20181228;{"fecha_partition":"2018-12","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20181228","fecha_particion_mensual_aaaammdd":"20181228","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2019-01;20190131;{"fecha_partition":"2019-01","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20190131","fecha_particion_mensual_aaaammdd":"20190131","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2019-02;20190228;{"fecha_partition":"2019-02","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20190228","fecha_particion_mensual_aaaammdd":"20190228","dias_del_mes":"28"}
JM_EXPOS_NO_CON;2019-03;20190329;{"fecha_partition":"2019-03","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20190329","fecha_particion_mensual_aaaammdd":"20190329","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2019-04;20190430;{"fecha_partition":"2019-04","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20190430","fecha_particion_mensual_aaaammdd":"20190430","dias_del_mes":"30"}
JM_EXPOS_NO_CON;2019-05;20190531;{"fecha_partition":"2019-05","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20190531","fecha_particion_mensual_aaaammdd":"20190531","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2019-06;20190628;{"fecha_partition":"2019-06","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20190628","fecha_particion_mensual_aaaammdd":"20190628","dias_del_mes":"30"}
JM_EXPOS_NO_CON;2019-07;20190731;{"fecha_partition":"2019-07","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20190731","fecha_particion_mensual_aaaammdd":"20190731","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2019-08;20190830;{"fecha_partition":"2019-08","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20190830","fecha_particion_mensual_aaaammdd":"20190830","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2019-09;20190930;{"fecha_partition":"2019-09","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20190930","fecha_particion_mensual_aaaammdd":"20190930","dias_del_mes":"30"}
JM_EXPOS_NO_CON;2019-10;20191031;{"fecha_partition":"2019-10","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20191031","fecha_particion_mensual_aaaammdd":"20191031","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2019-11;20191129;{"fecha_partition":"2019-11","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20191129","fecha_particion_mensual_aaaammdd":"20191129","dias_del_mes":"30"}
JM_EXPOS_NO_CON;2019-12;20191230;{"fecha_partition":"2019-12","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20191230","fecha_particion_mensual_aaaammdd":"20191230","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2020-01;20200131;{"fecha_partition":"2020-01","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20200131","fecha_particion_mensual_aaaammdd":"20200131","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2020-02;20200228;{"fecha_partition":"2020-02","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20200228","fecha_particion_mensual_aaaammdd":"20200228","dias_del_mes":"29"}
JM_EXPOS_NO_CON;2020-03;20200330;{"fecha_partition":"2020-03","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20200330","fecha_particion_mensual_aaaammdd":"20200330","dias_del_mes":"31"}
JM_EXPOS_NO_CON;2020-04;20200430;{"fecha_partition":"2020-04","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20200430","fecha_particion_mensual_aaaammdd":"20200430","dias_del_mes":"30"}
JM_EXPOS_NO_CON;2020-05;20200529;{"fecha_partition":"2020-05","Rubros_Provisiones":"2020-04-29","fecha_limite_info_aaaammdd":"20200529","fecha_particion_mensual_aaaammdd":"20200529","dias_del_mes":"31"}
