table;month_partition_date;last_working_day_arda;json_extra_params
JM_POSIC_CONTR;2018-03;20180328;{"fecha_partition_contratos_adsf_lwda":"20180328","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"31"}
JM_POSIC_CONTR;2018-04;20180427;{"fecha_partition_contratos_adsf_lwda":"20180427","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"30"}
JM_POSIC_CONTR;2018-05;20180531;{"fecha_partition_contratos_adsf_lwda":"20180531","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"31"}
JM_POSIC_CONTR;2018-06;20180629;{"fecha_partition_contratos_adsf_lwda":"20180629","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"30"}
JM_POSIC_CONTR;2018-07;20180731;{"fecha_partition_contratos_adsf_lwda":"20180731","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"31"}
JM_POSIC_CONTR;2018-08;20180831;{"fecha_partition_contratos_adsf_lwda":"20180831","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"31"}
JM_POSIC_CONTR;2018-09;20180928;{"fecha_partition_contratos_adsf_lwda":"20180928","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"30"}
JM_POSIC_CONTR;2018-10;20181031;{"fecha_partition_contratos_adsf_lwda":"20181031","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"31"}
JM_POSIC_CONTR;2018-11;20181129;{"fecha_partition_contratos_adsf_lwda":"20181129","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"30"}
JM_POSIC_CONTR;2018-12;20181228;{"fecha_partition_contratos_adsf_lwda":"20181228","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"31"}
JM_POSIC_CONTR;2019-01;20190131;{"fecha_partition_contratos_adsf_lwda":"20190131","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"31"}
JM_POSIC_CONTR;2019-02;20190228;{"fecha_partition_contratos_adsf_lwda":"20190228","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"28"}
JM_POSIC_CONTR;2019-03;20190329;{"fecha_partition_contratos_adsf_lwda":"20190329","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"31"}
JM_POSIC_CONTR;2019-04;20190430;{"fecha_partition_contratos_adsf_lwda":"20190430","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"30"}
JM_POSIC_CONTR;2019-05;20190531;{"fecha_partition_contratos_adsf_lwda":"20190531","fecha_partition_contratos_deudores_adic_lwda":"","dias_del_mes":"31"}
JM_POSIC_CONTR;2019-06;20190628;{"fecha_partition_contratos_adsf_lwda":"20190628","fecha_partition_contratos_deudores_adic_lwda":"20190628","dias_del_mes":"30"}
JM_POSIC_CONTR;2019-07;20190731;{"fecha_partition_contratos_adsf_lwda":"20190731","fecha_partition_contratos_deudores_adic_lwda":"20190731","dias_del_mes":"31"}
JM_POSIC_CONTR;2019-08;20190830;{"fecha_partition_contratos_adsf_lwda":"20190830","fecha_partition_contratos_deudores_adic_lwda":"20190830","dias_del_mes":"31"}
JM_POSIC_CONTR;2019-09;20190930;{"fecha_partition_contratos_adsf_lwda":"20190930","fecha_partition_contratos_deudores_adic_lwda":"20190930","dias_del_mes":"30"}
JM_POSIC_CONTR;2019-10;20191031;{"fecha_partition_contratos_adsf_lwda":"20191031","fecha_partition_contratos_deudores_adic_lwda":"20191031","dias_del_mes":"31"}
JM_POSIC_CONTR;2019-11;20191129;{"fecha_partition_contratos_adsf_lwda":"20191129","fecha_partition_contratos_deudores_adic_lwda":"20191129","dias_del_mes":"30"}
JM_POSIC_CONTR;2019-12;20191230;{"fecha_partition_contratos_adsf_lwda":"20191230","fecha_partition_contratos_deudores_adic_lwda":"20191230","dias_del_mes":"31"}
JM_POSIC_CONTR;2020-01;20200131;{"fecha_partition_contratos_adsf_lwda":"20200131","fecha_partition_contratos_deudores_adic_lwda":"20200131","dias_del_mes":"31"}
JM_POSIC_CONTR;2020-02;20200228;{"fecha_partition_contratos_adsf_lwda":"20200228","fecha_partition_contratos_deudores_adic_lwda":"20200228","dias_del_mes":"29"}
JM_POSIC_CONTR;2020-03;20200330;{"fecha_partition_contratos_adsf_lwda":"20200330","fecha_partition_contratos_deudores_adic_lwda":"20200330","dias_del_mes":"31"}
JM_POSIC_CONTR;2020-04;20200430;{"fecha_partition_contratos_adsf_lwda":"20200430","fecha_partition_contratos_deudores_adic_lwda":"20200430","dias_del_mes":"30"}
JM_POSIC_CONTR;2020-05;20200529;{"fecha_partition_contratos_adsf_lwda":"20200529","fecha_partition_contratos_deudores_adic_lwda":"20200529","dias_del_mes":"31"}
