REL_APLICACION	COD_AFINIDAD	DS_AFINIDAD
AMEX	1193	AMERICAN AIRLINES
AMEX	1194	AMERICAN AIRLINES
AMEX	1195	AMERICAN AIRLINES
AMEX	1196	AMERICAN AIRLINES
AMEX	1197	AMERICAN AIRLINES
AMEX	1198	AMERICAN AIRLINES
AMEX	1199	AMERICAN AIRLINES
AMEX	1200	AMERICAN AIRLINES
AMEX	1201	AMERICAN AIRLINES
AMEX	2000	AMERICAN AIRLINES
AMEX	4000	AMERICAN AIRLINES
AMEX	6229	AMERICAN AIRLINES
AMEX	6230	AMERICAN AIRLINES
AMEX	6231	AMERICAN AIRLINES
AMEX	6232	AMERICAN AIRLINES
AMAS	2000	AMERICAN AIRLINES
AMAS	6205	AMERICAN AIRLINES
AMAS	6206	AMERICAN AIRLINES
AMAS	6207	AMERICAN AIRLINES
AMAS	6208	AMERICAN AIRLINES
AMAS	6213	AMERICAN AIRLINES
AMAS	6214	AMERICAN AIRLINES
AMAS	6215	AMERICAN AIRLINES
AMAS	6216	AMERICAN AIRLINES
AMAS	6217	AMERICAN AIRLINES
AMAS	6218	AMERICAN AIRLINES
AMAS	6219	AMERICAN AIRLINES
AMAS	6220	AMERICAN AIRLINES
AMAS	6221	AMERICAN AIRLINES
AMAS	6222	AMERICAN AIRLINES
AMAS	6223	AMERICAN AIRLINES
AMAS	6224	AMERICAN AIRLINES
AMAS	6334	AMERICAN AIRLINES
AMAS	6335	AMERICAN AIRLINES
AMAS	6336	AMERICAN AIRLINES
AMAS	6338	AMERICAN AIRLINES
AMAS	6339	AMERICAN AIRLINES
AMAS	6340	AMERICAN AIRLINES
AVIS	1193	AMERICAN AIRLINES
AVIS	1194	AMERICAN AIRLINES
AVIS	1195	AMERICAN AIRLINES
AVIS	1196	AMERICAN AIRLINES
AVIS	1197	AMERICAN AIRLINES
AVIS	1198	AMERICAN AIRLINES
AVIS	1199	AMERICAN AIRLINES
AVIS	1200	AMERICAN AIRLINES
AVIS	1201	AMERICAN AIRLINES
AVIS	2000	AMERICAN AIRLINES
AVIS	4000	AMERICAN AIRLINES
AVIS	6205	AMERICAN AIRLINES
AVIS	6206	AMERICAN AIRLINES
AVIS	6207	AMERICAN AIRLINES
AVIS	6208	AMERICAN AIRLINES
AVIS	6213	AMERICAN AIRLINES
AVIS	6214	AMERICAN AIRLINES
AVIS	6215	AMERICAN AIRLINES
AVIS	6216	AMERICAN AIRLINES
AVIS	6217	AMERICAN AIRLINES
AVIS	6218	AMERICAN AIRLINES
AVIS	6219	AMERICAN AIRLINES
AVIS	6220	AMERICAN AIRLINES
AVIS	6221	AMERICAN AIRLINES
AVIS	6222	AMERICAN AIRLINES
AVIS	6223	AMERICAN AIRLINES
AVIS	6224	AMERICAN AIRLINES
AVIS	6229	AMERICAN AIRLINES
AVIS	6230	AMERICAN AIRLINES
AVIS	6231	AMERICAN AIRLINES
AVIS	6232	AMERICAN AIRLINES
AVIS	4837	CHEEKY
AVIS	4838	CHEEKY
AVIS	4839	CHEEKY
AVIS	4840	CHEEKY
AVIS	6718	CHEEKY
AVIS	8256	CHEEKY
AVIS	8496	CHEEKY
AVIS	1786	NOVA
AVIS	1788	NOVA
